code,description,id,image_url,level,level_id,name,rank,scraped_at
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,147,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,7,Peace of Mind,7,2025-07-01T17:35:01.204738
generic-built-in-australia,Proudly built in Australia,148,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,7,Built in Australia,8,2025-07-01T17:35:01.204741
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,149,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,7,Suitable for Couples,9,2025-07-01T17:35:01.204745
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,150,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,7,Suitable for Small Families,10,2025-07-01T17:35:01.204748
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,151,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,7,Suitable for Medium Sized Families,11,2025-07-01T17:35:01.204751
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,152,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,7,Suitable for Larger Families,12,2025-07-01T17:35:01.204755
generic-wifi,Ready to connect with your home Wi-Fi,153,uploads/features-and-benefits/Wifi.png,class,7,Built-in Wi-Fi,13,2025-07-01T17:35:01.204764
dish-cutlery,Seperate your cutlery onto a rack to improve cleaning,154,uploads/features-and-benefits/Dish-Cutlery.png,class,7,Cutlery Rack,14,2025-07-01T17:35:01.204767
dish-door-open,Improves the drying cycle by opening the door at the end of the cycle,155,uploads/features-and-benefits/Dish-Door-Open.png,class,7,Door Open,15,2025-07-01T17:35:01.204770
dish-integrated,Install you own cabinetry panel to give you a seamless design in your new kitchen,156,uploads/features-and-benefits/Dish-Integrated.png,class,7,Inergrated,16,2025-07-01T17:35:01.204773
generic-value-for-money,Get great value without compromise,157,uploads/features-and-benefits/Generic-Value-For-Money.png,class,8,Value For Money,1,2025-07-01T17:35:02.016003
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,158,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,8,Sustainable Choice,2,2025-07-01T17:35:02.016022
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,159,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,8,Sustainable Choice,3,2025-07-01T17:35:02.016024
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,160,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,8,Peace of Mind,4,2025-07-01T17:35:02.016025
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,161,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,8,Peace of Mind,5,2025-07-01T17:35:02.016027
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,162,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,8,Peace of Mind,6,2025-07-01T17:35:02.016028
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,163,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,8,Peace of Mind,7,2025-07-01T17:35:02.016029
generic-built-in-australia,Proudly built in Australia,164,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,8,Built in Australia,8,2025-07-01T17:35:02.016031
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,165,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,8,Suitable for Couples,9,2025-07-01T17:35:02.016033
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,166,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,8,Suitable for Small Families,10,2025-07-01T17:35:02.016034
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,167,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,8,Suitable for Medium Sized Families,11,2025-07-01T17:35:02.016035
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,168,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,8,Suitable for Larger Families,12,2025-07-01T17:35:02.016037
generic-wifi,Ready to connect with your home Wi-Fi,169,uploads/features-and-benefits/Wifi.png,class,8,Built-in Wi-Fi,13,2025-07-01T17:35:02.016041
floorcare-multi-surface,Designed for sealed hardfloors & carpets.,170,uploads/features-and-benefits/Floorcare-Multi-Surface.png,class,8,Multi-surface Cleaning,14,2025-07-01T17:35:02.016043
floorcare-wet-and-dry,Tackle basic vacuuming duties to liquid spills & accidents.,171,uploads/features-and-benefits/Floorcare-Wet-and-Dry.png,class,8,Wet & Dry Cleaning,15,2025-07-01T17:35:02.016044
floorcare-self-emptying,Automatically empties the onboard dust bin into a larger collection bin in the docking station.,172,uploads/features-and-benefits/Floorcare-Self-Emptying.png,class,8,Self Emptying,16,2025-07-01T17:35:02.016046
floorcare-bagless,Just empty the dustbin and carry on cleaning.,173,uploads/features-and-benefits/Floorcare-Bagless.png,class,8,Bagless,17,2025-07-01T17:35:02.016047
floorcare-bagged,"Traps & contains the dust, dirt & debris in a sealed bag for easy disposal.",174,uploads/features-and-benefits/Floorcare-Bagged.png,class,8,Bagged,18,2025-07-01T17:35:02.016049
generic-value-for-money,Get great value without compromise,175,uploads/features-and-benefits/Generic-Value-For-Money.png,class,9,Value For Money,1,2025-07-01T17:35:02.846217
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,176,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,9,Sustainable Choice,2,2025-07-01T17:35:02.846240
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,177,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,9,Sustainable Choice,3,2025-07-01T17:35:02.846242
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,178,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,9,Peace of Mind,4,2025-07-01T17:35:02.846244
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,179,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,9,Peace of Mind,5,2025-07-01T17:35:02.846245
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,180,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,9,Peace of Mind,6,2025-07-01T17:35:02.846247
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,181,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,9,Peace of Mind,7,2025-07-01T17:35:02.846249
generic-built-in-australia,Proudly built in Australia,182,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,9,Built in Australia,8,2025-07-01T17:35:02.846250
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,183,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,9,Suitable for Couples,9,2025-07-01T17:35:02.846252
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,184,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,9,Suitable for Small Families,10,2025-07-01T17:35:02.846253
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,185,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,9,Suitable for Medium Sized Families,11,2025-07-01T17:35:02.846262
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,186,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,9,Suitable for Larger Families,12,2025-07-01T17:35:02.846263
generic-wifi,Ready to connect with your home Wi-Fi,187,uploads/features-and-benefits/Wifi.png,class,9,Built-in Wi-Fi,13,2025-07-01T17:35:02.846265
ref-flexi,Allows your to choose what level of cooling you need for this zone. ,188,uploads/features-and-benefits/Ref-Flexi.png,class,9,Flexible Zone,14,2025-07-01T17:35:02.846267
ref-french,"Two large doors on top with a freezer drawer, letting you easily store larger items",190,uploads/features-and-benefits/Ref-French.png,class,9,French Door,15,2025-07-01T17:35:02.846268
ref-ice,Automatically makes and dispenses ice and a has handy water dispenser,191,uploads/features-and-benefits/Ref-Ice.png,class,9,Ice & Water,16,2025-07-01T17:35:02.846270
ref-flat,Modern Sleek design to compliment your kitchen,192,uploads/features-and-benefits/Ref-Flat.png,class,9,Flat Door Design,17,2025-07-01T17:35:02.846271
ref-hybrid,Can be used as a Fridge or a Freezer based on your needs,193,uploads/features-and-benefits/Ref-Hybrid.png,class,9,Hybrid,18,2025-07-01T17:35:02.846273
ref-wifi,Ready to connect with your home Wi-Fi,194,uploads/features-and-benefits/Ref-Wifi.png,class,9,Built-in Wi-Fi,19,2025-07-01T17:35:02.846275
ref-quad2,Four doors allows for greater separation between storage areas,428,uploads/features-and-benefits/Ref-Quad.png,class,9,Quad Door,20,2025-07-01T17:35:02.846276
generic-value-for-money,Get great value without compromise,195,uploads/features-and-benefits/Generic-Value-For-Money.png,class,10,Value For Money,1,2025-07-01T17:35:03.647359
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,196,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,10,Sustainable Choice,2,2025-07-01T17:35:03.647380
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,197,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,10,Sustainable Choice,3,2025-07-01T17:35:03.647382
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,198,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,10,Peace of Mind,4,2025-07-01T17:35:03.647383
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,199,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,10,Peace of Mind,5,2025-07-01T17:35:03.647385
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,200,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,10,Peace of Mind,6,2025-07-01T17:35:03.647386
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,201,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,10,Peace of Mind,7,2025-07-01T17:35:03.647388
generic-built-in-australia,Proudly built in Australia,202,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,10,Built in Australia,8,2025-07-01T17:35:03.647389
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,203,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,10,Suitable for Couples,9,2025-07-01T17:35:03.647391
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,204,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,10,Suitable for Small Families,10,2025-07-01T17:35:03.647392
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,205,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,10,Suitable for Medium Sized Families,11,2025-07-01T17:35:03.647395
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,206,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,10,Suitable for Larger Families,12,2025-07-01T17:35:03.647397
generic-wifi,Ready to connect with your home Wi-Fi,207,uploads/features-and-benefits/Wifi.png,class,10,Built-in Wi-Fi,13,2025-07-01T17:35:03.647398
generic-value-for-money,Get great value without compromise,208,uploads/features-and-benefits/Generic-Value-For-Money.png,class,11,Value For Money,1,2025-07-01T17:35:04.462613
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,209,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,11,Sustainable Choice,2,2025-07-01T17:35:04.462635
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,210,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,11,Sustainable Choice,3,2025-07-01T17:35:04.462637
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,211,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,11,Peace of Mind,4,2025-07-01T17:35:04.462639
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,212,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,11,Peace of Mind,5,2025-07-01T17:35:04.462641
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,213,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,11,Peace of Mind,6,2025-07-01T17:35:04.462643
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,214,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,11,Peace of Mind,7,2025-07-01T17:35:04.462645
generic-built-in-australia,Proudly built in Australia,215,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,11,Built in Australia,8,2025-07-01T17:35:04.462647
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,216,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,11,Suitable for Couples,9,2025-07-01T17:35:04.462648
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,217,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,11,Suitable for Small Families,10,2025-07-01T17:35:04.462650
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,218,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,11,Suitable for Medium Sized Families,11,2025-07-01T17:35:04.462652
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,219,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,11,Suitable for Larger Families,12,2025-07-01T17:35:04.462654
generic-wifi,Ready to connect with your home Wi-Fi,220,uploads/features-and-benefits/Wifi.png,class,11,Built-in Wi-Fi,13,2025-07-01T17:35:04.462660
laundry-wifi,Ready to connect with your home Wi-Fi,221,uploads/features-and-benefits/Laundry-Wifi.png,class,11,Built-in Wi-Fi,14,2025-07-01T17:35:04.462662
laundry-large,Suitable for Larger Families,222,uploads/features-and-benefits/Laundry-Large.png,class,11,Large Family Size,15,2025-07-01T17:35:04.462664
laundry-medium,Suitable for medium sized families and couples looking to grow their families.,223,uploads/features-and-benefits/Laundry-Medium.png,class,11,Medium Family Size,16,2025-07-01T17:35:04.462666
laundry-small,Suitable for couples or singles,224,uploads/features-and-benefits/Laundry-Small.png,class,11,Small Family Size,17,2025-07-01T17:35:04.462668
laundry-matching,Complete the modern laundry with a matching heat pump dryer,225,uploads/features-and-benefits/Laundry-Matching.png,class,11,Add a Matching Dryer,18,2025-07-01T17:35:04.462672
laundry-topseller,One of our best sellers,226,uploads/features-and-benefits/Laundry-TopSeller.png,class,11,Top Seller,19,2025-07-01T17:35:04.462674
laundry-stack,Allows you to mount your dryer on top of your front load washer & save space in your laundry,227,uploads/features-and-benefits/Laundry-Stack.png,class,11,Stackable,20,2025-07-01T17:35:04.462676
