code,description,id,image_url,level,level_id,name,rank,scraped_at
media-bluray,Plays Blu-Ray & DVD,38,uploads/features-and-benefits/Media-BluRay.png,type,83,Blu-Ray,2,2025-07-01T17:36:26.804306
media-dvd,Plays DVD media,39,uploads/features-and-benefits/Media-DVD.png,type,83,DVD,3,2025-07-01T17:36:26.804311
media-smart,Conveninience of Smart Apps Built In,40,uploads/features-and-benefits/Media-Smart.png,type,83,Smart Apps,4,2025-07-01T17:36:26.804314
media-resolution,Make the most of your TVs capabilities with 4K resolution,41,uploads/features-and-benefits/Media-Resolution.png,type,83,Ultra HD,5,2025-07-01T17:36:26.804317
media-tuner-twin,Record 2 Programmes Simultaneously,42,uploads/features-and-benefits/Media-Tuner-Twin.png,type,83,Twin HD Tuner,6,2025-07-01T17:36:26.804321
media-tuner-triple,Record 3 Programmes Simultaneously,43,uploads/features-and-benefits/Media-Tuner-Triple.png,type,83,Triple HD Tuner,7,2025-07-01T17:36:26.804324
media-external-hd-playback,Play supported files via an external storage devide (HDD),44,uploads/features-and-benefits/Media-External-HD-Playback.png,type,83,External HDD Playback,8,2025-07-01T17:36:26.804328
tv-screentech-qled,Uses Quantum Dot Nanocrystrals to deliver exceptional luminance for vivid colour and contrast. ,8,uploads/features-and-benefits/TV-ScreenTech-QLED.png,type,85,QLED Technology,1,2025-07-01T17:36:28.446509
tv-screentech-qned,"Uses Quantum Dot Nanocrystals and NanoCell Nanoparticles for increased brightness, colour and contrast",10,uploads/features-and-benefits/TV-ScreenTech-QNED.png,type,85,QNED Technology,2,2025-07-01T17:36:28.446522
tv-screentech-led,LED lighting technology for high quality imagery,11,uploads/features-and-benefits/TV-ScreenTech-LED.png,type,85,LED Technology,3,2025-07-01T17:36:28.446525
tv-illumination-miniled,Advanced illumination technology,12,uploads/features-and-benefits/TV-Illumination-MiniLED.png,type,85,Mini-LED,6,2025-07-01T17:36:28.446526
tv-illumination-direct-backlit,Direct Backlit LCD offers exceptional brightness uniformity on screen,13,uploads/features-and-benefits/TV-Illumination-Direct-Backlit.png,type,85,Direct Backlit,7,2025-07-01T17:36:28.446528
tv-size-50-59,The ideal viewing distance for a TV this size is between 2.10m - 2.45m,14,uploads/features-and-benefits/TV-Size-50-59.png,type,85,"55-58"" Screen",8,2025-07-01T17:36:28.446530
tv-size-60-69,The ideal viewing distance for a TV this size is between 2.45m - 2.80m,15,uploads/features-and-benefits/TV-Size-60-69.png,type,85,"65"" Screen",9,2025-07-01T17:36:28.446531
tv-size-70-79,The ideal viewing distance for a TV this size is between 2.80m - 3.30m,16,uploads/features-and-benefits/TV-Size-70-79.png,type,85,"70-75"" Screen",10,2025-07-01T17:36:28.446533
tv-size-80-99,The ideal viewing distance for a TV this size is between 3.30m - 3.70m,17,uploads/features-and-benefits/TV-Size-80-99.png,type,85,"85"" Screen",11,2025-07-01T17:36:28.446534
tv-size-100+,The ideal viewing distance for a TV this size is between 4m - 4.50m,18,uploads/features-and-benefits/TV-Size-100+.png,type,85,"100"" Screen",12,2025-07-01T17:36:28.446536
tv-portable,Ideal for camping (12/240V) can be used in caravans,19,uploads/features-and-benefits/TV-Portable.png,type,85,Portability,13,2025-07-01T17:36:28.446537
tv-smarttv,Enjoy the latest technology with Smart TV capabilities,20,uploads/features-and-benefits/TV-SmartTV.png,type,85,Smart TV,14,2025-07-01T17:36:28.446539
tv-androidtv,Seamless operation with the Google Android operating system,21,uploads/features-and-benefits/TV-AndroidTV.png,type,85,Android TV,15,2025-07-01T17:36:28.446541
tv-slim-design,"Sits close to the wall, for a sleek look.",22,uploads/features-and-benefits/TV-Slim-Design.png,type,85,Slim Design,16,2025-07-01T17:36:28.446542
tv-suitable-gaming,"If you love gaming, you'll love low input lag and high picture quality",23,uploads/features-and-benefits/TV-Suitable-Gaming.png,type,85,Optimised For Gaming,17,2025-07-01T17:36:28.446544
tv-suitable-cinematic,"For the most accurate colour reproduction, you can view movies the way they were intended",24,uploads/features-and-benefits/TV-Suitable-Cinematic.png,type,85,Optimised for Cinematic,18,2025-07-01T17:36:28.446545
tv-suitable-sport,Bright lit displays with optimised motion rates mean you won't miss a detail,25,uploads/features-and-benefits/TV-Suitable-Sport.png,type,85,Optimised for Sports,19,2025-07-01T17:36:28.446547
tv-screentech-oled,"Pixels produce colour and light, giving you vibrant colour and infinite blacks",429,uploads/features-and-benefits/TV-ScreenTech-OLED.png,type,85,OLED Technology,4,2025-07-01T17:36:28.446548
tv-illumination-oled,"Each pixel is self-lit, eliminating the need for a backlight, resulting in vibrant colours and infinite contrast",430,uploads/features-and-benefits/TV-ScreenTech-OLED.png,type,85,OLED,5,2025-07-01T17:36:28.446550
audio-soundtype-hires,Enjoy high sound accuracy,26,uploads/features-and-benefits/Audio-SoundType-HiRes.png,type,159,Hi-Res Audio,1,2025-07-01T17:37:34.779609
audio-soundtype-dolby,Dolby atmos delivers exceptional spatial sound experience,27,uploads/features-and-benefits/Audio-SoundType-Dolby.png,type,159,Dolby Atmos,2,2025-07-01T17:37:34.779643
audio-high-power-output,High Power Output,28,uploads/features-and-benefits/Audio-High-Power-Output.png,type,159,High Power Output,3,2025-07-01T17:37:34.779646
audio-long-run-time,Enjoy long lasting playback,29,uploads/features-and-benefits/Audio-Long-Run-Time.png,type,159,Extended Run Time,4,2025-07-01T17:37:34.779648
audio-water-ipx4,IPX4 Splash Resistance,30,uploads/features-and-benefits/Audio-Water-IPX4.png,type,159,Splash Resistant,5,2025-07-01T17:37:34.779651
audio-water-ipx2,IPX2 Water Drip Resistance,31,uploads/features-and-benefits/Audio-Water-IPX2.png,type,159,Water Resistant ,6,2025-07-01T17:37:34.779653
audio-water-ap67,IP67 Dust and Waterproof,32,uploads/features-and-benefits/Audio-Water-AP67.png,type,159,Dust & Waterproof ,7,2025-07-01T17:37:34.779655
audio-connectivity-wired,"Uses a cable connection, perfect if you don't have wireless connectivity.",33,uploads/features-and-benefits/Audio-Connectivity-Wired.png,type,159,Wired Connectivity,8,2025-07-01T17:37:34.779659
audio-connectivity-bluetooth,Wireless Connectivity,34,uploads/features-and-benefits/Audio-Connectivity-Bluetooth.png,type,159,Bluetooth,9,2025-07-01T17:37:34.779661
audio-connectivity-btwired,Convenince of both wired and wireless connectivity,35,uploads/features-and-benefits/Audio-Connectivity-BTWired.png,type,159,Bluetooth & Wired,10,2025-07-01T17:37:34.779663
audio-connectivity-multipoint,Multipoint allows you to connect to more than one device simultaneously,36,uploads/features-and-benefits/Audio-Connectivity-Multipoint.png,type,159,Multipoint Connectivity,11,2025-07-01T17:37:34.779665
